"year","month_name","month_number","country","max_emails_opened","total_customers","total_emails_sent_per_country"
"2020","July","7","Albania","85","736","1019"
"2020","July","7","Algeria","14","650","2313"
"2020","July","7","American Samoa","105","1945","2483"
"2020","July","7","Angola","27","1353","1225"
"2020","July","7","Antigua and Barbuda","30","240","435"
"2020","July","7","Argentina","87","460","266"
"2020","July","7","Armenia","213","119","1177"
"2020","July","7","Aruba","56","405","2267"
"2020","July","7","Australia","106","1473","3042"
"2020","July","7","Azerbaijan","1","106","292"
"2020","July","7","Bahamas","155","1464","1398"
"2020","July","7","Bahrain","1","686","632"
"2020","July","7","Bangladesh","108","2493","3904"
"2020","July","7","Belize","7","924","2343"
"2020","July","7","Bermuda","30","217","1142"
"2020","July","7","Bhutan","63","573","1076"
"2020","July","7","Bolivia","61","558","772"
"2020","July","7","Botswana","2","522","1313"
"2020","July","7","Bouvet Island (Bouvetoya)","33","491","623"
"2020","July","7","Brazil","25","289","1281"
"2020","July","7","Brunei Darussalam","5","320","2273"
"2020","July","7","Bulgaria","16","822","1075"
"2020","July","7","Burundi","58","856","2729"
"2020","July","7","Cambodia","86","632","1839"
"2020","July","7","Cameroon","98","1272","1532"
"2020","July","7","Canada","51","44","1122"
"2020","July","7","Cape Verde","53","1238","1376"
"2020","July","7","Chad","113","726","1277"
"2020","July","7","Chile","64","446","354"
"2020","July","7","Christmas Island","41","341","3921"
"2020","July","7","Cocos (Keeling) Islands","50","1698","1582"
"2020","July","7","Colombia","49","708","1108"
"2020","July","7","Congo","50","768","1105"
"2020","July","7","Cook Islands","62","318","977"
"2020","July","7","Cuba","112","722","2350"
"2020","July","7","Cyprus","9","734","1258"
"2020","July","7","Czech Republic","91","1360","1630"
"2020","July","7","Denmark","2","960","1836"
"2020","July","7","Djibouti","381","983","1551"
"2020","July","7","Dominica","120","1231","2223"
"2020","July","7","Ecuador","74","2171","3083"
"2020","July","7","Equatorial Guinea","3","833","900"
"2020","July","7","Estonia","33","773","1903"
"2020","July","7","Falkland Islands (Malvinas)","19","1408","1165"
"2020","July","7","Faroe Islands","39","301","716"
"2020","July","7","Finland","19","417","1319"
"2020","July","7","France","41","1055","1051"
"2020","July","7","French Guiana","32","47","2095"
"2020","July","7","French Polynesia","62","932","2604"
"2020","July","7","French Southern Territories","122","1193","1137"
"2020","July","7","Gabon","163","1628","2478"
"2020","July","7","Gambia","12","959","1560"
"2020","July","7","Georgia","125","962","1617"
"2020","July","7","Germany","51","811","585"
"2020","July","7","Greece","37","649","2173"
"2020","July","7","Greenland","98","510","789"
"2020","July","7","Grenada","36","1186","1781"
"2020","July","7","Guadeloupe","62","1174","2552"
"2020","July","7","Guam","101","1935","1906"
"2020","July","7","Guatemala","112","974","3087"
"2020","July","7","Guernsey","145","595","1428"
"2020","July","7","Guinea","27","416","509"
"2020","July","7","Guyana","3","446","1531"
"2020","July","7","Haiti","10","828","1453"
"2020","July","7","Heard Island and McDonald Islands","13","169","346"
"2020","July","7","Holy See (Vatican City State)","346","241","1266"
"2020","July","7","Honduras","10","541","591"
"2020","July","7","Iceland","224","546","2015"
"2020","July","7","India","39","584","966"
"2020","July","7","Iran","46","459","1636"
"2020","July","7","Iraq","13","255","364"
"2020","July","7","Ireland","8","351","1846"
"2020","July","7","Isle of Man","47","1513","1830"
"2020","July","7","Israel","105","1291","3052"
"2020","July","7","Italy","10","384","698"
"2020","July","7","Jamaica","17","425","1874"
"2020","July","7","Jersey","266","374","1330"
"2020","July","7","Jordan","80","167","1158"
"2020","July","7","Kenya","341","1124","1270"
"2020","July","7","Kiribati","16","1715","1764"
"2020","July","7","Kyrgyz Republic","2","41","906"
"2020","July","7","Lao People's Democratic Republic","64","496","697"
"2020","July","7","Latvia","48","599","138"
"2020","July","7","Liberia","10","664","1378"
"2020","July","7","Libyan Arab Jamahiriya","136","1122","1993"
"2020","July","7","Liechtenstein","36","37","841"
"2020","July","7","Lithuania","16","39","1918"
"2020","July","7","Macedonia","15","878","1195"
"2020","July","7","Madagascar","150","733","716"
"2020","July","7","Malawi","248","3449","2198"
"2020","July","7","Malaysia","23","126","588"
"2020","July","7","Mali","52","294","672"
"2020","July","7","Malta","42","753","720"
"2020","July","7","Marshall Islands","11","1069","482"
"2020","July","7","Martinique","45","468","756"
"2020","July","7","Mauritania","36","350","1304"
"2020","July","7","Mexico","22","592","782"
"2020","July","7","Micronesia","69","180","1833"
"2020","July","7","Moldova","44","744","1294"
"2020","July","7","Mongolia","57","550","1904"
"2020","July","7","Montenegro","21","1257","2071"
"2020","July","7","Montserrat","24","665","578"
"2020","July","7","Nepal","24","168","199"
"2020","July","7","Netherlands","14","17","2093"
"2020","July","7","Netherlands Antilles","117","1163","2346"
"2020","July","7","New Zealand","500","659","2430"
"2020","July","7","Nicaragua","28","419","999"
"2020","July","7","Nigeria","12","1436","990"
"2020","July","7","Niue","191","216","982"
"2020","July","7","Norfolk Island","195","524","3395"
